,param_name,value
0,β,229301.50082454062
1,V,114517.1172435449
2,r_1,111236.74026391598
3,δ,62423.52716451467
4,σ1,41675.38397531411
5,σ2,34721.27590523079
6,γ,26896.23917366503
7,ψ,18434.550928972385
8,I,11393.509858646614
9,σ4,10389.770216358205
10,R,9878.963864569838
11,D,9038.841151238816
12,α,2034.813319110384
13,E,1971.7414647867347
14,ρ2,824.7504154671057
15,τ2,242.2244540548063
16,U,188.8036548177474
17,ρ1,122.08926644000717
18,r_2,112.81362919553013
19,χ,47.93263623351128
20,Q_2,24.467393175745066
21,λ,23.859120357772067
22,τ1,19.70456086021361
23,ϕ,18.79154490895833
24,Q_1,17.34557583818858
25,η,15.868998491593063
26,ρ4,0.33037916160044845
27,a,0.0020937996901831536
28,τ4,0.0010075722372571586
