,param_name,value
0,V,4862561.200933237
1,α,4108970.037305469
2,D,2654314.062749651
3,β,2576969.6299197483
4,R,1652148.457596441
5,r_1,1155672.607852918
6,ψ,1048304.3471749645
7,U,632573.0649221914
8,δ,630963.0618986936
9,σ1,507809.2092199097
10,σ2,361205.71821542917
11,γ,301902.19543475745
12,I,143880.7589232006
13,χ,98274.02248029823
14,σ4,47713.111374689775
15,r_2,39866.80600392454
16,ρ2,37290.64704141257
17,λ,29557.962644538744
18,E,24788.609436360344
19,η,22025.55942694557
20,τ2,14480.222297632736
21,ρ1,6412.036595247149
22,ϕ,3731.5785518610896
23,Q_2,1366.2400054040916
24,τ1,892.541016893541
25,Q_1,797.5616959749249
26,ρ4,60.70270020720691
27,τ4,0.3027058208047441
28,a,0.11523416064734238
